book,ts_code,position,value,wavg_cost,return,pct_return
jx,cash,30088746.277379375,30088746.277379375,0.0,30088746.277379375,0.0
jx,601800.SH,1440.0,15901.606451612903,10.948543010752688,135.70451612903162,0.8607469251321758
yz,600406.SH,13980.0,259270.5032272374,17.486567719883105,14808.286503271607,6.05749497886308
yz,600038.SH,915.0,36997.731885733156,39.36591305195226,977.9214431968358,2.7149544408540085
jx,600522.SH,-11475.0,-106333.5922474178,9.107815190836792,-1821.4129325656104,-1.7427757649933249
yz,cash,19700032.615989186,19700032.615989186,0.0,19700032.615989186,0.0
jx,cash,30094654.965083398,30094654.965083398,0.0,30094654.965083398,0.0
jx,601800.SH,1536.0,16796.160000000003,10.950951780913977,-24.501935483865964,-0.14566570315629573
yz,600406.SH,14912.0,271734.1143174005,17.53289960225344,10283.515448597202,3.933253736304311
yz,600038.SH,976.0,39871.59519154557,39.463919202876966,1354.8100495376566,3.5174536102704157
jx,600522.SH,-12240.0,-111606.77003442956,9.107485867555301,-131.14301555267593,-0.11764277004736529
yz,cash,19680376.312466998,19680376.312466998,0.0,19680376.312466998,0.0
jx,cash,30100596.73940817,30100596.73940817,0.0,30100596.73940817,0.0
jx,601800.SH,1632.0,17925.874838709682,10.955959044908285,45.74967741936052,0.25586888797851676
yz,600406.SH,15844.0,291201.08782965515,17.583001427889982,12616.013206166273,4.528603416107976
yz,600038.SH,1037.0,42786.07204755615,39.5743615327977,1747.4591380449274,4.258085286405797
jx,600522.SH,-13005.0,-119225.26362341209,9.110101081849496,-748.3990539593942,-0.6316837102999742
yz,cash,19660595.890600037,19660595.890600037,0.0,19660595.890600037,0.0
jx,cash,30106599.01029544,30106599.01029544,0.0,30106599.01029544,0.0
jx,601800.SH,1728.0,19115.790967741937,10.964764784946237,168.67741935484082,0.8902539108348764
yz,600406.SH,16776.0,310302.82731728954,17.63406775068911,14473.706731729035,4.892590257199818
yz,600038.SH,1098.0,45564.766287978855,39.68578216247626,1989.7774735799248,4.566329281356975
jx,600522.SH,-13770.0,-127464.13106969015,9.117365566000037,-1918.007225869631,-1.5277311374866767
yz,cash,19641079.465904783,19641079.465904783,0.0,19641079.465904783,0.0
jx,cash,30112454.85783033,30112454.85783033,0.0,30112454.85783033,0.0
jx,601800.SH,1824.0,20231.396129032262,10.974190718732315,214.47225806452116,1.0714546323253427
yz,600406.SH,17708.0,323378.20539869135,17.667383450014686,10524.179265831306,3.363926427899634
yz,600038.SH,1159.0,47243.86381109643,39.74677132213233,1177.3558487450573,2.555774033723744
jx,600522.SH,-14535.0,-131814.3136056037,9.11398566916368,657.4680956903903,0.4963080342445244
yz,cash,19621302.71933692,19621302.71933692,0.0,19621302.71933692,0.0
jx,cash,30118530.89273642,30118530.89273642,0.0,30118530.89273642,0.0
jx,601800.SH,1920.0,21578.4,10.990022849462367,477.55612903225847,2.2632086752194733
yz,600406.SH,18640.0,344598.3022291228,17.708634186926833,14509.360984806612,4.3955913609560975
yz,600038.SH,1220.0,50736.62912813738,39.8429011629166,2128.2897093791325,4.378445622353051
jx,600522.SH,-15300.0,-143442.54066247182,9.126257294600297,-3810.8040550872684,-2.7291818806224963
yz,cash,19601460.882734716,19601460.882734716,0.0,19601460.882734716,0.0
jx,cash,30124584.22092656,30124584.22092656,0.0,30124584.22092656,0.0
jx,601800.SH,2016.0,22499.291612903224,11.000614439324117,322.05290322580186,1.4521776468288115
yz,600406.SH,19572.0,362978.7045181324,17.74875543937591,15600.06305866706,4.490795114266514
yz,600038.SH,1281.0,53489.864128137386,39.937920223116635,2329.3883223249795,4.553101365136903
jx,600522.SH,-16065.0,-149979.16276860973,9.13547834648205,-3217.703132375609,-2.192471470610249
yz,cash,19581522.88824723,19581522.88824723,0.0,19581522.88824723,0.0
jx,cash,30130648.902474675,30130648.902474675,0.0,30130648.902474675,0.0
jx,601800.SH,2112.0,23653.463225806456,11.012024682306942,396.0670967741935,1.7029726568563794
yz,600406.SH,20504.0,382272.19186869246,17.789682509791724,17512.54168792296,4.801118127853233
yz,600038.SH,1342.0,56143.68685601057,40.027914733230034,2426.225284015869,4.51664172694409
jx,600522.SH,-16830.0,-157453.91119553606,9.144759275324073,-3547.612591831916,-2.3050470474679674
yz,cash,19561427.435933467,19561427.435933467,0.0,19561427.435933467,0.0
jx,cash,30136625.77594259,30136625.77594259,0.0,30136625.77594259,0.0
jx,601800.SH,2208.0,25009.8735483871,11.027980949041611,660.091612903223,2.7108727899583376
yz,600406.SH,21436.0,402168.3153598758,17.83216220887571,19918.08625041606,5.2107454053905595
yz,600038.SH,1403.0,59797.08785667106,40.144215935187,3474.7528996037,6.169404912371599
jx,600522.SH,-17595.0,-162870.83414460407,9.148937645812557,-1895.2762665321352,-1.1773689692491567
yz,cash,19541496.22413653,19541496.22413653,0.0,19541496.22413653,0.0
jx,cash,30142572.245370407,30142572.245370407,0.0,30142572.245370407,0.0
jx,601800.SH,2304.0,25920.0,11.039401881720432,485.2180645161243,1.9076950050010069
yz,600406.SH,22368.0,416366.78806698456,17.864978776775637,16762.9427880671,4.194890260970041
yz,600038.SH,1464.0,61742.29505944517,40.23219302222967,2842.3644749009254,4.825751824649488
jx,600522.SH,-18360.0,-169044.31057817882,9.150709548251013,-1037.283272290224,-0.6174046936748981
yz,cash,19522015.6784066,19522015.6784066,0.0,19522015.6784066,0.0
jx,cash,30148327.37368823,30148327.37368823,0.0,30148327.37368823,0.0
jx,601800.SH,2400.0,26304.000000000004,11.038309139784948,-187.94193548387193,-0.7094305730458305
